eil51: qualidade=376.49055901964783, tempo decorrido=0.0049991607666015625
berlin52: qualidade=6081.630541640886, tempo decorrido=0.002001523971557617
st70: qualidade=566.2069428083264, tempo decorrido=0.001997709274291992
eil76: qualidade=472.33067926456215, tempo decorrido=0.0029997825622558594
pr76: qualidade=87217.79931409321, tempo decorrido=0.003000020980834961
rat99: qualidade=1114.7301753975214, tempo decorrido=0.0050008296966552734
kroA100: qualidade=18772.173204200873, tempo decorrido=0.007000446319580078
kroB100: qualidade=19256.959533872876, tempo decorrido=0.0070002079010009766
kroC100: qualidade=18402.323808907313, tempo decorrido=0.00600123405456543
kroD100: qualidade=18596.71564008623, tempo decorrido=0.006000518798828125
kroE100: qualidade=19224.395063793156, tempo decorrido=0.0065419673919677734
rd100: qualidade=6963.627948834986, tempo decorrido=0.005998134613037109
eil101: qualidade=562.2572622112236, tempo decorrido=0.005999565124511719
lin105: qualidade=13060.442644312809, tempo decorrido=0.005999326705932617
pr107: qualidade=34757.46383759815, tempo decorrido=0.0070002079010009766
pr124: qualidade=50535.47313062489, tempo decorrido=0.01299905776977539
bier127: qualidade=94717.6142768717, tempo decorrido=0.012001514434814453
ch130: qualidade=5205.657445976162, tempo decorrido=0.008998394012451172
pr136: qualidade=88966.17726056662, tempo decorrido=0.009999513626098633
pr144: qualidade=49464.45500927264, tempo decorrido=0.010998964309692383
ch150: qualidade=5880.472679094402, tempo decorrido=0.01299738883972168
kroA150: qualidade=23557.39767074485, tempo decorrido=0.013998985290527344
kroB150: qualidade=22804.21698466502, tempo decorrido=0.013001203536987305
pr152: qualidade=59168.446483420856, tempo decorrido=0.014001846313476562
u159: qualidade=37154.557384407264, tempo decorrido=0.01699972152709961
rat195: qualidade=2164.7933154928146, tempo decorrido=0.02199864387512207
d198: qualidade=11763.289605587792, tempo decorrido=0.029999971389770508
kroA200: qualidade=25932.58393260636, tempo decorrido=0.022001266479492188
kroB200: qualidade=26203.654333843693, tempo decorrido=0.059998512268066406
ts225: qualidade=112000.0, tempo decorrido=0.026999235153198242
tsp225: qualidade=3501.4157547255313, tempo decorrido=0.029000282287597656
pr226: qualidade=68639.95977279794, tempo decorrido=0.02800154685974121
gil262: qualidade=2103.108585408052, tempo decorrido=0.09799933433532715
pr264: qualidade=41142.242635156974, tempo decorrido=0.09299778938293457
a280: qualidade=2446.566740962226, tempo decorrido=0.08800315856933594
pr299: qualidade=42493.23608979866, tempo decorrido=0.052001237869262695
lin318: qualidade=37918.86609581952, tempo decorrido=0.05999875068664551
linhp318: qualidade=37918.86609581952, tempo decorrido=0.10099935531616211
rd400: qualidade=13619.374960302837, tempo decorrido=0.1809988021850586
fl417: qualidade=10225.973096792448, tempo decorrido=0.16547298431396484
pr439: qualidade=92193.90398428096, tempo decorrido=0.1790003776550293
pcb442: qualidade=46362.39053165436, tempo decorrido=0.16696953773498535
d493: qualidade=29277.526115147684, tempo decorrido=0.2150135040283203
u574: qualidade=32111.61366330956, tempo decorrido=0.3475344181060791
rat575: qualidade=6262.426671888264, tempo decorrido=0.3450000286102295
p654: qualidade=29456.029006185727, tempo decorrido=0.44100069999694824
d657: qualidade=42484.471743246235, tempo decorrido=0.40200018882751465
u724: qualidade=37972.26298352412, tempo decorrido=0.6125235557556152
rat783: qualidade=8153.251408718353, tempo decorrido=0.7929985523223877
pr1002: qualidade=224214.4682679684, tempo decorrido=1.3015191555023193
u1060: qualidade=195409.86244912655, tempo decorrido=1.8590734004974365
vm1084: qualidade=209233.46641243045, tempo decorrido=2.011035442352295
pcb1173: qualidade=51459.86318147796, tempo decorrido=2.2540342807769775
d1291: qualidade=47287.1747102897, tempo decorrido=2.6710662841796875
rl1304: qualidade=222839.06002154332, tempo decorrido=2.838000535964966
rl1323: qualidade=239974.93715383278, tempo decorrido=3.3949999809265137
nrw1379: qualidade=52013.194795241296, tempo decorrido=3.4529993534088135
fl1400: qualidade=17050.851948642983, tempo decorrido=3.3226277828216553
u1432: qualidade=145978.58444539845, tempo decorrido=3.317026138305664
fl1577: qualidade=19440.68882933811, tempo decorrido=4.983086585998535
d1655: qualidade=56881.113461541485, tempo decorrido=4.3676652908325195
vm1748: qualidade=294613.64505230956, tempo decorrido=4.821265935897827
u1817: qualidade=54895.18290464902, tempo decorrido=5.507022857666016
rl1889: qualidade=278257.54455708363, tempo decorrido=7.5975892543792725
d2103: qualidade=76299.10803876641, tempo decorrido=8.346043825149536
u2152: qualidade=62203.2920932908, tempo decorrido=8.310720443725586
u2319: qualidade=232200.0, tempo decorrido=10.196539163589478
pr2392: qualidade=342309.2379023021, tempo decorrido=8.892450332641602
pcb3038: qualidade=127408.7565586933, tempo decorrido=13.998889923095703
fl3795: qualidade=25074.23622119553, tempo decorrido=35.56253361701965
fnl4461: qualidade=168722.23709100054, tempo decorrido=42.411824226379395
rl5915: qualidade=521841.73661583144, tempo decorrido=94.28043055534363
rl5934: qualidade=513954.24846618494, tempo decorrido=66.08491635322571
